"","Model number","Model name","Term","Estimate","Std. error","Lower 95% CI","Upper 95% CI"
"39","  ","  ","lprior",-3.148,0.003,-3.156,-3.144
"40","89","Absolute range losses - Seed Mass variation","b_Intercept",-0.257,0.092,-0.436,-0.073
"41","  ","  ","b_LogTraitValueSD",0.045,0.09,-0.135,0.225
"42","  ","  ","sigma",0.231,0.05,0.156,0.351
"43","  ","  ","lprior",-3.149,0.003,-3.158,-3.145
"44","90","Absolute range gains - Height variation","b_Intercept",0.217,0.173,-0.129,0.559
"45","  ","  ","b_LogTraitValueSD",0.05,0.272,-0.473,0.586
"46","  ","  ","sigma",0.271,0.043,0.202,0.372
"47","  ","  ","lprior",-3.15,0.003,-3.157,-3.146
"48","91","Absolute range losses - Height variation","b_Intercept",-0.152,0.164,-0.471,0.18
"49","  ","  ","b_LogTraitValueSD",-0.153,0.282,-0.721,0.394
"50","  ","  ","sigma",0.234,0.039,0.173,0.325
"51","  ","  ","lprior",-3.148,0.002,-3.153,-3.145
"52","92","Median absolute range gains - all traits variation","b_Intercept",0.224,0.234,-0.242,0.694
"53","  ","  ","b_Hei_var",-0.226,0.309,-0.837,0.386
"54","  ","  ","b_Seed_var",0.092,0.063,-0.034,0.219
"55","  ","  ","b_SLA_var",0.023,0.422,-0.826,0.878
"56","  ","  ","sigma",0.224,0.055,0.146,0.358
"57","  ","  ","lprior",-3.148,0.004,-3.157,-3.144
"58","93","Median absolute range gains - all traits variation interaction","b_Intercept",0.559,1.01,-1.386,2.601
"59","  ","  ","b_Hei_var",-1.013,1.816,-4.615,2.468
"60","  ","  ","b_Seed_var",-0.512,0.792,-2.086,1.048
"61","  ","  ","b_SLA_var",1.217,2.865,-4.922,6.886
"62","  ","  ","b_Hei_var:Seed_var",1.081,1.321,-1.564,3.722
"63","  ","  ","b_Hei_var:SLA_var",-1.317,4.5,-10.076,8.249
"64","  ","  ","b_Seed_var:SLA_var",0.019,0.403,-0.751,0.835
"65","  ","  ","sigma",0.251,0.076,0.151,0.445
"66","  ","  ","lprior",-3.15,0.006,-3.164,-3.144
"67","94","Median absolute range losses - all traits variation","b_Intercept",-0.277,0.457,-1.165,0.621
"68","  ","  ","b_Hei_var",0.258,0.501,-0.729,1.262
"69","  ","  ","b_Seed_var",0.146,0.183,-0.211,0.498
"70","  ","  ","b_SLA_var",-1.023,0.935,-2.866,0.794
"71","  ","  ","sigma",0.256,0.06,0.171,0.394
"72","  ","  ","lprior",-3.149,0.004,-3.159,-3.145
"73","95","Median absolute range losses - all traits variation interaction","b_Intercept",0.304,2.415,-4.465,5.199
"74","  ","  ","b_Hei_var",0.287,3.159,-6.097,6.532
"75","  ","  ","b_Seed_var",-0.89,1.156,-3.212,1.389
"76","  ","  ","b_SLA_var",-1.923,11.228,-24.644,20.374
"77","  ","  ","b_Hei_var:Seed_var",0.581,1.275,-2.008,3.079
"78","  ","  ","b_Hei_var:SLA_var",-3.178,15.844,-34.725,28.636
"79","  ","  ","b_Seed_var:SLA_var",3.315,4.593,-6.032,12.589
"80","  ","  ","sigma",0.272,0.077,0.167,0.468
"81","  ","  ","lprior",-3.15,0.006,-3.166,-3.144
"82","96","Absolute range gains - SLA values","b_Intercept",0.71,0.264,0.196,1.236
"83","  ","  ","b_LogTraitMedianValue",-0.195,0.106,-0.406,0.01
"84","  ","  ","sigma",0.243,0.034,0.186,0.319
"85","  ","  ","lprior",-3.148,0.002,-3.153,-3.145
"86","97","Absolute range losses - SLA values","b_Intercept",-0.093,0.28,-0.644,0.474
"87","  ","  ","b_LogTraitMedianValue",-0.067,0.114,-0.293,0.16
"88","  ","  ","sigma",0.232,0.039,0.17,0.325
"89","  ","  ","lprior",-3.148,0.002,-3.153,-3.145
"90","98","Absolute range gains - Seed Mass values","b_Intercept",0.17,0.083,0.008,0.334
"91","  ","  ","b_LogTraitMedianValue",-0.013,0.025,-0.065,0.037
"92","  ","  ","sigma",0.259,0.064,0.168,0.414
"93","  ","  ","lprior",-3.15,0.005,-3.163,-3.145
"94","99","Absolute range losses - Seed Mass values","b_Intercept",-0.341,0.087,-0.513,-0.164
"95","  ","  ","b_LogTraitMedianValue",-0.076,0.043,-0.163,0.01
"96","  ","  ","sigma",0.205,0.045,0.138,0.314
