"","sp","TraitShort","NumbRecords","NumbSites","MTV","LogMTV","SD","LogSD","COV","LogCOV","LogCOVnew","SampleNumbRecords","SampleNumbSites","SampleMTV","LogSampleMTV","SampleSD","LogSampleSD","SampleCOV","SampleLogCOV","SampleLogCOVnew"
"11","Betula nana","SLA",411,85,11.95530726,2.48117530196019,2.38182998228122,0.189023711925796,0.194230704513428,0.0759578562736214,-1.63870862793246,5,5,13.559,2.60705053348017,2.67021820394966,0.221290685837587,0.212741814606644,0.088137590882334,-1.54767598650315
"12","Calluna vulgaris","SLA",151,19,13.08,2.57108434602905,5.09430320844096,0.444822753927327,0.405429847261137,0.182316366529892,-0.902807423448572,5,4,7.98721804511278,2.07784251956421,6.78110588841054,0.558603763912966,0.587231884516063,0.241135804365258,-0.532335503912005
"13","Cassiope tetragona","SLA",108,21,5.4064733545,1.68754924778272,3.15988175209608,0.762685399212634,0.526271393932725,0.476940043195341,-0.641938241258008,5,5,6.558380282,1.88074366423743,1.78985384234714,0.304129608445388,0.290239792905934,0.170546818650277,-1.23704782558258
"14","Chamaedaphne calyculata","SLA",30,8,9.75328860694237,2.27755307773126,1.32964088140453,0.134395276634808,0.135791541914699,0.0591331724570269,-1.99663434919415,5,4,9.85221674876847,2.28769648050029,1.43072792948307,0.138149438336698,0.138797476135527,0.0594123637555506,-1.97473941453638
"15","Cornus canadensis","SLA",34,8,26.6530153015302,3.28061271651318,15.0735806193938,0.597466197304869,0.524772809422151,0.186705667304453,-0.644789854009008,5,3,45.014,3.8069735524964,21.1419642795685,0.897487241740629,0.648065835231941,0.278671569351472,-0.433762990210391
"16","Cornus sericea","SLA",34,5,17.0973137526171,2.83891632755419,4.98988801632737,0.23775517932504,0.273239468259888,0.0826980196891705,-1.29740669517554,5,3,17.4293859649123,2.85815763027755,4.92254529847952,0.274570178468088,0.284073011079285,0.0973119970538292,-1.25852399259557
"17","Dasiphora fruticosa","SLA",56,12,7.12499999964375,1.96360972610471,6.30763048584384,0.545264736504521,0.591608516270494,0.246482501402042,-0.524910152930486,5,2,7.1249999996,1.96360972609857,5.31082125642395,0.470376792128109,0.562176830715886,0.21920887236211,-0.575938833176996
"18","Diapensia lapponica","SLA",52,10,7.982160884,2.07719612314384,1.384184832543,0.183057422579589,0.179367981843003,0.0902976522082759,-1.7183158188476,5,4,6.453958041,1.8646935923691,1.40712656078305,0.190908098498977,0.194138612512373,0.0971061796366463,-1.63918287756416
"19","Dryas integrifolia","SLA",276,12,8.8201525,2.177033434318,2.49026452013265,0.259737858378612,0.269853076555649,0.118691481225604,-1.30987762899804,5,3,9.5564325,2.25721448796219,4.53877561087849,0.338110380645016,0.358574266122462,0.135756665193138,-1.02561948245399
"20","Dryas octopetala","SLA",199,27,11.336,2.42798350238838,3.67510625012697,0.336953998516553,0.315121716507373,0.140170859391739,-1.15479631317967,5,3,11.47252306,2.4399548773088,3.9789477092736,0.432722758263987,0.362571853529652,0.18577008888776,-1.01453260769621
"21","Empetrum nigrum","SLA",542,114,6.030212067,1.79678153829589,2.77342420279017,0.35324826592207,0.415889221658482,0.192991531261607,-0.877336348273629,5,5,5.499396343,1.70463833039663,2.09801117407644,0.324036677370214,0.327100322958573,0.178417511268899,-1.11748835709933
"22","Harrimanella hypnoides","SLA",56,4,8.2864538045,2.11462202956591,2.00872975767701,0.223556816673297,0.229698552130957,0.104289985158681,-1.47098747261145,5,3,8.097003745,2.09149408522085,2.7147532474425,0.266265886261502,0.29831931218326,0.122269121806841,-1.20959084874825
"23","Linnaea borealis","SLA",81,25,20.32815029,3.01200663924122,7.40309246508365,0.319187472515082,0.336984249506513,0.105067421889887,-1.0877190870914,5,5,18.88885111,2.93857185965322,7.43844280088948,0.319204232943084,0.336317814176442,0.104515606245209,-1.08969869055218
"24","Loiseleuria procumbens","SLA",140,23,4.60416874665023,1.52695614789533,0.755389673080454,0.156237911974288,0.160816358224756,0.101803713204321,-1.82749219715798,5,4,4.887573964,1.58669605849621,1.26315497298538,0.237768134570402,0.24909386285644,0.148583369794304,-1.38992549428591
"25","Myrica gale","SLA",9,4,10.2249488752556,2.32483070194136,6.22040366640968,0.389668534308893,0.429063795535242,0.149782295455762,-0.846149663568635,5,4,11.668611435,2.4569024533579,7.38810066497231,0.449912690603646,0.459333495333566,0.166940141957975,-0.777978763391149
"26","Phyllodoce caerulea","SLA",126,40,8.36629605675,2.12420144656148,3.16498072171914,0.293983498200035,0.35017767477034,0.136445222851111,-1.04931461110442,5,4,8.801818182,2.17495831173383,2.4375270337068,0.279576412575731,0.27242761117704,0.129397511643857,-1.300382347226
"27","Rhododendron lapponicum","SLA",41,8,7.4424228859,2.00719645253735,2.2724748626529,0.262712939102009,0.272904304186977,0.125983770303932,-1.29863407936226,5,4,7.397274267,2.00111159005814,0.531508582735254,0.0771395249172243,0.0753465542571298,0.0395328276707474,-2.58565708478766
"28","Rhododendron tomentosum","SLA",130,18,5.31862989964447,1.67121573252422,2.05091372058204,0.274936893480762,0.351707778760082,0.159879156574104,-1.04495462214633,5,2,5.313,1.67015664746881,0.838137013659049,0.168555302367544,0.157486639511222,0.10147877664163,-1.84841465281477
"29","Ribes glandulosum","SLA",6,1,34.8133922687002,3.54993355801817,7.48327952196835,0.204978936694433,0.202370159219991,0.0570495368320699,-1.59765678712223,5,1,34.4056582249601,3.53822103413718,7.03291248933969,0.19519019547529,0.199100742991999,0.054996336890485,-1.61394433616607
"30","Ribes nigrum","SLA",67,5,15.1,2.71469474382088,9.44933811202189,0.571749016449279,0.65428599379248,0.227859655745004,-0.424210723735565,5,2,15.1,2.71469474382088,5.74025333897731,0.603943032524232,0.500800262390603,0.26159706496307,-0.691547935253487
"31","Ribes spicatum","SLA",15,6,29.9681167252111,3.40013404068918,5.34351162932559,0.180863864619289,0.16680867869416,0.0523874627696541,-1.79090775987051,5,3,29.9681167252111,3.40013404068918,4.57132506536536,0.134567722616532,0.137250071373181,0.0384654125062699,-1.98595067856946
