"","sp","TraitShort","NumbRecords","NumbSites","MTV","LogMTV","SD","LogSD","COV","LogCOV","LogCOVnew","SampleNumbRecords","SampleNumbSites","SampleMTV","LogSampleMTV","SampleSD","LogSampleSD","SampleCOV","SampleLogCOV","SampleLogCOVnew"
"36","Salix lanata","PlantHeight",512,80,0.485,-0.723659531478833,0.904843878400149,0.972132612328015,0.994850232930973,-1.71093471626123,-0.00516307282013046,5,5,0.33,-1.10866262452161,0.144499134945508,0.329902076284659,0.340799846569593,-0.365467034730293,-1.07645993423367
"37","Salix lapponum","PlantHeight",50,23,0.6,-0.510825623765991,0.296595962851135,0.508242921082459,0.453706281379945,-0.946445661256434,-0.790305247620874,5,5,0.6,-0.510825623765991,0.100647901120689,0.178801937097878,0.174735939445641,-0.316890886113659,-1.74447936207453
"38","Salix niphoclada","PlantHeight",207,51,0.3,-1.20397280432594,0.381952643485768,0.705690019915468,0.853954131310932,-0.656398214862099,-0.157877797044767,5,4,0.17,-1.77195684193188,0.499219390649041,0.955659815729557,1.18018768474951,-0.74027165937941,0.165673480702151
"39","Salix phlebophylla","PlantHeight",30,4,0.0225,-3.7944869443384,0.00672412024754527,0.349453532907725,0.300183939622557,-0.0907642113578768,-1.20335986013942,5,3,0.019,-3.9633162998157,0.00487852436706019,0.215810276743009,0.22585760958612,-0.0559925588712862,-1.4878505243514
"40","Salix phylicifolia","PlantHeight",8,3,2.24,0.745327188222067,1.27870470175319,0.588763718173298,0.539537848841008,0.818594659662677,-0.617042341339703,5,2,3,1.09861228866811,1.0325115011466,0.406608039942453,0.333498546881976,0.379167294311585,-1.09811677081144
"41","Salix polaris","PlantHeight",192,14,0.039,-3.24419363285249,0.0220517299958874,0.587907677645528,0.553889607432022,-0.173887596576329,-0.590789876653812,5,3,0.025,-3.68887945411394,0.0125179870586289,0.345928837324319,0.38875736206922,-0.0991873504686937,-0.944799877869375
"42","Salix pulchra","PlantHeight",446,82,0.2725,-1.30015875064966,0.318577882541177,0.775549460130771,0.877180735975829,-0.586744836098832,-0.131042223491414,5,4,0.62,-0.478035800943,0.225122189044083,0.614238261483178,0.446671010008102,-0.761430768564416,-0.805932950853831
"43","Salix reticulata","PlantHeight",153,18,0.043,-3.14655516328857,0.0258774450111041,0.423331096018214,0.535728659707043,-0.135358468413679,-0.624127477979804,5,5,0.046,-3.07911388249304,0.0133304163475865,0.258132852315897,0.260359694288798,-0.0860791697878097,-1.34569116446516
"44","Salix rotundifolia","PlantHeight",262,2,0.02,-3.91202300542815,0.00645825701540215,0.41301548236892,0.317603299428516,-0.104285411210727,-1.14695216103429,5,2,0.018,-4.01738352108597,0.00687022561492707,0.46955958288431,0.434824406008042,-0.11096958178455,-0.832812993737166
"45","Salix vestita","PlantHeight",69,1,0.22,-1.51412773262978,0.07744054177662,0.347669844144411,0.336910301550239,-0.227604049616602,-1.08793855156534,5,1,0.2,-1.6094379124341,0.0766159252375118,0.311939587912342,0.345116780349152,-0.201681401722124,-1.06387242546121
"46","Sibbaldia procumbens","PlantHeight",101,15,0.031,-3.47376807449699,0.0192568719892895,0.560875877944899,0.560567232798661,-0.159379001598172,-0.578806092194013,5,4,0.031,-3.47376807449699,0.011401841956456,0.366882089397377,0.356085008009244,-0.104995852232175,-1.03258579009226
"47","Thymus praecox","PlantHeight",5,4,0.05,-2.99573227355399,0.0531977443130815,0.768065617941844,0.749264004409599,-0.266858559260746,-0.288663881722674,5,4,0.05,-2.99573227355399,0.0531977443130815,0.768065617941844,0.749264004409599,-0.266858559260746,-0.288663881722674
"48","Vaccinium caespitosum","PlantHeight",6,1,0.095,-2.36650177874899,0.0362973828257631,0.371607578987028,0.364797817344352,-0.157163185828093,-1.00841200395679,5,1,0.08,-2.52572864430826,0.0296951174437819,0.32724690257402,0.332160150377874,-0.133138710528695,-1.10213804571755
"49","Vaccinium myrtilloides","PlantHeight",6,4,0.39,-0.957981536343681,0.243934759037466,0.987120341014302,0.628968007831885,-0.800341213448894,-0.463674885527697,5,4,0.32,-1.13943428318836,0.198133288470161,0.982255237677844,0.620329644552789,-0.693141146485484,-0.477504257474699
"50","Vaccinium myrtillus","PlantHeight",612,97,0.08,-2.52572864430826,0.0570981309481305,0.650376577513281,0.62938902209731,-0.251226939822204,-0.463005736357596,5,4,0.07,-2.65926003693278,0.0919238815542512,0.928013092961157,1.0213764617139,-0.33536872121,0.0211511898453446
"51","Vaccinium uliginosum","PlantHeight",869,63,0.1,-2.30258509299405,0.0756368570544751,0.647138972745229,0.639685266744708,-0.27762319212083,-0.446778994298687,5,5,0.08,-2.52572864430826,0.0658027355054484,0.594675801464474,0.577216978117968,-0.257296169223806,-0.549537037896228
"52","Vaccinium vitis-idaea","PlantHeight",1447,136,0.04,-3.2188758248682,0.0265646969639094,0.579471336739055,0.596494451679221,-0.17688316276826,-0.51668533894724,5,5,0.06,-2.81341071676004,0.0327917672594815,0.63136256257643,0.561502864032217,-0.21126371739884,-0.577138404135941
